Injection Temp (Celsius),Growth Temp (Celsius),Metal_source,Metal_amount (g),Metal_mmol (mmol),Metal_concentration (mmol/g),Chalcogen_source,Chalcogen_amount (g),Chalcogen_mmol (mmol),Chalcogen_concentration (mmol/g),Metal/Se_ratio,Carboxylic_Acid,CA_amount (g),CA_mmol (mmol),Cd/CA_ratio,Amines,Amines_amount (g),Amines_mmol (mmol),Phosphines,Phosphines_amount (g),Phosphines_mmol (mmol),Chalcogen/Ph_ratio,Solvent I,S_I_amount (g),Solvent II,S_II_amount (g),Total_amount (g),Time_min (min),Diameter_nm,Absorbance max (nm),PL max (nm),Diameter from,Citation
300,300,cadmium stearate,0.13,0.2,0.02,Se powder,0.06,0.8,0.07,0.25,None,0,0,0,octadecylamine,0.2,0.7,trioctylphosphine,1.25,3.38,0.24,octadecene,10,None,0,11.65,5,3.41,566,575,TEM,J. Phys. Chem. C 2012 116 47 25065 - 25073
225,225,cadmium oxide,0.01,0.1,0.01,Se powder,0.03,0.38,0.04,0.27,oleic acid,0.54,1.9,0.05,None,0,0,trioctylphosphine,0.33,0.9,0.42,octadecene,7.89,None,0,8.8,0.5,2.5,474,617,TEM,Colloids and Surfaces A: Physicochemical and Engineering Aspects 2016 494 162 - 169
250,250,cadmium stearate,0.0678,0.1,0.035257823,Se powder,0.00395,0.05,0.017628911,2,None,0,0,0,None,0,0,None,0,0,0,octadecene,2.7645,None,0,2.83625,0.5,1.99,None,497,TEM,J. Phys. Chem. Lett. 2017 8 15 3576-3580
250,250,cadmium stearate,0.0678,0.1,0.034915592,Se powder,0.00395,0.05,0.017457796,2,None,0,0,0,None,0,0,trioctylphosphine,0.0278,0.075,0.666666667,octadecene,2.7645,None,0,2.86405,0.5,2.13,None,510,TEM,J. Phys. Chem. Lett. 2017 8 15 3576-3580
250,250,cadmium stearate,0.0678,0.1,0.034915592,Se powder,0.00395,0.05,0.017457796,2,None,0,0,0,None,0,0,trioctylphosphine,0.0278,0.075,0.666666667,octadecene,2.7645,None,0,2.86405,1,2.27,None,517,TEM,J. Phys. Chem. Lett. 2017 8 15 3576-3580
250,250,cadmium stearate,0.0678,0.1,0.034915592,Se powder,0.00395,0.05,0.017457796,2,None,0,0,0,None,0,0,trioctylphosphine,0.0278,0.075,0.666666667,octadecene,2.7645,None,0,2.86405,2,2.53,None,522,TEM,J. Phys. Chem. Lett. 2017 8 15 3576-3580
250,250,cadmium stearate,0.0678,0.1,0.034915592,Se powder,0.00395,0.05,0.017457796,2,None,0,0,0,None,0,0,trioctylphosphine,0.0278,0.075,0.666666667,octadecene,2.7645,None,0,2.86405,5,2.71,None,532,TEM,J. Phys. Chem. Lett. 2017 8 15 3576-3580
250,250,cadmium stearate,0.0678,0.1,0.034915592,Se powder,0.00395,0.05,0.017457796,2,None,0,0,0,None,0,0,trioctylphosphine,0.0278,0.075,0.666666667,octadecene,2.7645,None,0,2.86405,15,2.91,None,547,TEM,J. Phys. Chem. Lett. 2017 8 15 3576-3580
250,250,cadmium stearate,0.0678,0.1,0.034915592,Se powder,0.00395,0.05,0.017457796,2,None,0,0,0,None,0,0,trioctylphosphine,0.0278,0.075,0.666666667,octadecene,2.7645,None,0,2.86405,30,3.02,None,550,TEM,J. Phys. Chem. Lett. 2017 8 15 3576-3580
250,250,cadmium stearate,0.0678,0.1,0.034915592,Se powder,0.00395,0.05,0.017457796,2,None,0,0,0,None,0,0,trioctylphosphine,0.0278,0.075,0.666666667,octadecene,2.7645,None,0,2.86405,45,3.02,None,549,TEM,J. Phys. Chem. Lett. 2017 8 15 3576-3580
250,250,cadmium stearate,0.0678,0.1,0.034915592,Se powder,0.00395,0.05,0.017457796,2,None,0,0,0,None,0,0,trioctylphosphine,0.0278,0.075,0.666666667,octadecene,2.7645,None,0,2.86405,60,3.02,None,548,TEM,J. Phys. Chem. Lett. 2017 8 15 3576-3580
250,250,cadmium stearate,0.0678,0.1,0.013729757,Se powder,0.00395,0.05,0.006864879,2,None,0,0,0,None,0,0,trioctylphosphine,4.4472,0.6,0.083333333,octadecene,2.7645,None,0,7.28345,0.5,2.98,None,549,TEM,J. Phys. Chem. Lett. 2017 8 15 3576-3580
250,250,cadmium stearate,0.0678,0.1,0.013729757,Se powder,0.00395,0.05,0.006864879,2,None,0,0,0,None,0,0,trioctylphosphine,4.4472,0.6,0.083333333,octadecene,2.7645,None,0,7.28345,1,3.21,None,560,TEM,J. Phys. Chem. Lett. 2017 8 15 3576-3580
250,250,cadmium stearate,0.0678,0.1,0.013729757,Se powder,0.00395,0.05,0.006864879,2,None,0,0,0,None,0,0,trioctylphosphine,4.4472,0.6,0.083333333,octadecene,2.7645,None,0,7.28345,2,3.43,None,582,TEM,J. Phys. Chem. Lett. 2017 8 15 3576-3580
250,250,cadmium stearate,0.0678,0.1,0.013729757,Se powder,0.00395,0.05,0.006864879,2,None,0,0,0,None,0,0,trioctylphosphine,4.4472,0.6,0.083333333,octadecene,2.7645,None,0,7.28345,5,4.07,None,593,TEM,J. Phys. Chem. Lett. 2017 8 15 3576-3580
250,250,cadmium stearate,0.0678,0.1,0.013729757,Se powder,0.00395,0.05,0.006864879,2,None,0,0,0,None,0,0,trioctylphosphine,4.4472,0.6,0.083333333,octadecene,2.7645,None,0,7.28345,15,4.95,None,602,TEM,J. Phys. Chem. Lett. 2017 8 15 3576-3580
